id;accuracy;logic;clarity;detail;irrelevance;plausibility;;;;;;;;;;;;;;
1;3;3;3;3;1;3;;;;;;;;;;;;;;
2;3;3;3;3;1;3;;;;;;;;;;;;;;
3;3;3;3;3;1;3;;;;;;;;;;;;;;
4;3;3;3;3;1;3;;;;;;;;;;;;;;
5;3;3;3;3;1;3;;;;;;;;;;;;;;
6;3;3;3;3;1;3;;;;;;;;;;;;;;
7;2;2;2;1;2;2;;;;;;;;;;;;;;
8;3;3;3;1;1;3;;;;;;;;;;;;;;
9;3;3;3;3;1;3;;;;;;;;;;;;;;
10;3;3;3;3;1;3;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;
21;3;3;3;3;1;3;;;;;;;;;;;;;;
22;3;3;3;3;1;3;;;;;;;;;;;;;;
23;2;2;3;3;2;2;;;;;;;;;;;;;;
24;2;2;3;3;1;3;;;;;;;;;;;;;;
25;3;3;3;3;1;3;;;;;;;;;;;;;;
26;3;3;3;3;1;3;;;;;;;;;;;;;;
27;2;2;3;3;1;3;;;;;;;;;;;;;;
28;2;2;3;3;1;3;;;;;;;;;;;;;;
29;2;3;2;3;1;3;;;;;;;;;;;;;;
30;1;2;2;3;2;2;;;;;;;;;;;;;;
31;3;3;3;3;1;3;;;;;;;;;;;;;;
32;3;3;3;3;1;3;;;;;;;;;;;;;;
33;3;3;3;3;1;3;;;;;;;;;;;;;;
34;3;3;3;3;1;3;;;;;;;;;;;;;;
35;3;2;2;2;2;3;;;;;;;;;;;;;;
36;3;3;3;3;1;3;;;;;;;;;;;;;;
37;2;2;2;1;2;2;;;;;;;;;;;;;;
38;2;3;3;2;1;3;;;;;;;;;;;;;;
39;2;3;2;2;2;3;;;;;;;;;;;;;;
40;3;3;3;2;1;3;;;;;;;;;;;;;;
41;3;3;3;3;1;3;;;;;;;;;;;;;;
42;3;3;3;3;1;3;;;;;;;;;;;;;;
43;3;3;3;3;1;3;;;;;;;;;;;;;;
44;3;3;3;3;1;3;;;;;;;;;;;;;;
45;3;3;3;3;1;3;;;;;;;;;;;;;;
46;3;3;3;3;1;3;;;;;;;;;;;;;;
47;3;3;3;3;1;3;;;;;;;;;;;;;;
48;3;3;3;3;1;3;;;;;;;;;;;;;;
49;3;3;3;3;1;3;;;;;;;;;;;;;;
50;3;3;3;3;1;3;;;;;;;;;;;;;;
51;2;2;3;3;1;3;;;;;;;;;;;;;;
52;1;2;2;2;1;1;;;;;;;;;;;;;;
53;3;3;3;3;1;3;;;;;;;;;;;;;;
54;2;2;3;3;1;2;;;;;;;;;;;;;;
55;2;3;3;3;1;2;;;;;;;;;;;;;;
56;3;3;3;3;2;3;;;;;;;;;;;;;;
57;2;2;3;3;2;2;;;;;;;;;;;;;;
58;3;3;3;3;1;3;;;;;;;;;;;;;;
59;3;3;3;3;1;3;;;;;;;;;;;;;;
60;3;3;3;3;1;3;;;;;;;;;;;;;;
61;3;3;3;3;1;3;;;;;;;;;;;;;;
62;2;2;3;3;2;3;;;;;;;;;;;;;;
63;2;2;3;3;1;2;;;;;;;;;;;;;;
64;3;3;3;3;1;3;;;;;;;;;;;;;;
65;3;3;3;3;1;3;;;;;;;;;;;;;;
66;3;3;3;3;1;3;;;;;;;;;;;;;;
67;3;3;3;3;1;3;;;;;;;;;;;;;;
68;3;3;3;3;2;3;;;;;;;;;;;;;;
69;3;3;3;3;1;3;;;;;;;;;;;;;;
70;3;3;3;2;1;3;;;;;;;;;;;;;;
71;2;2;2;3;1;2;;;;;;;;;;;;;;
72;3;3;3;3;1;3;;;;;;;;;;;;;;
73;3;3;3;3;1;3;;;;;;;;;;;;;;
74;2;3;2;2;2;3;;;;;;;;;;;;;;
75;2;2;2;2;1;2;;;;;;;;;;;;;;
76;2;2;2;3;1;2;;;;;;;;;;;;;;
77;2;2;3;3;1;3;;;;;;;;;;;;;;
78;2;2;2;3;1;3;;;;;;;;;;;;;;
79;1;2;3;2;3;2;;;;;;;;;;;;;;
80;2;3;3;3;1;3;;;;;;;;;;;;;;
81;3;3;3;3;1;3;;;;;;;;;;;;;;
82;2;2;3;3;2;3;;;;;;;;;;;;;;
83;3;3;3;3;1;3;;;;;;;;;;;;;;
84;3;3;3;3;1;3;;;;;;;;;;;;;;
85;3;3;3;3;1;3;;;;;;;;;;;;;;
86;3;3;3;3;1;3;;;;;;;;;;;;;;
87;3;3;2;3;1;3;;;;;;;;;;;;;;
88;3;3;3;3;1;3;;;;;;;;;;;;;;
89;3;2;3;3;1;3;;;;;;;;;;;;;;
90;3;3;3;3;1;3;;;;;;;;;;;;;;
91;3;3;3;3;1;3;;;;;;;;;;;;;;
92;3;3;3;3;1;3;;;;;;;;;;;;;;
93;3;3;3;3;1;3;;;;;;;;;;;;;;
94;2;3;3;3;1;3;;;;;;;;;;;;;;
95;2;2;2;2;1;3;;;;;;;;;;;;;;
96;2;2;2;2;2;3;;;;;;;;;;;;;;
97;3;3;3;3;1;3;;;;;;;;;;;;;;
98;2;3;3;3;1;2;;;;;;;;;;;;;;
99;3;3;3;3;1;3;;;;;;;;;;;;;;
100;3;3;3;3;1;3;;;;;;;;;;;;;;
